100 2
-0.728449 -3.92545
0 -4
0.440788 -3.94419
0.701971 -3.81424
0.891606 -3.66638
1.11517 -3.55584
1.40966 -3.51153
1.73804 -3.53392
2.05967 -3.62202
2.35063 -3.7604
2.6251 -3.90082
2.90249 -3.99048
3.19898 -3.98022
3.49228 -3.86342
3.7351 -3.66115
3.89615 -3.39706
3.98437 -3.0999
4.0145 -2.79758
3.99874 -2.49974
3.94766 -2.20439
3.87181 -1.90934
3.78172 -1.6124
3.68795 -1.31137
3.60105 -1.00409
3.5321 -0.689976
3.49452 -0.375278
3.5023 -0.0679941
3.56944 0.223877
3.70505 0.49416
3.87223 0.753895
4.00878 1.02357
4.06975 1.31691
4.06463 1.62629
4.01349 1.93991
3.93463 2.24694
3.83361 2.54326
3.71042 2.82773
3.56501 3.09922
3.39733 3.35659
3.20734 3.59871
2.99499 3.82445
2.76024 4.03264
2.50395 4.21071
2.22927 4.31799
1.94017 4.33134
1.64158 4.2698
1.33857 4.15725
1.03618 4.01754
0.738753 3.8725
0.446498 3.73209
0.158153 3.60208
-0.127542 3.48819
-0.411851 3.39617
-0.696036 3.33177
-0.98136 3.30073
-1.26916 3.30631
-1.56116 3.33975
-1.85918 3.38862
-2.16506 3.44049
-2.48062 3.48294
-2.80754 3.50351
-3.13763 3.48805
-3.44708 3.41968
-3.71069 3.2813
-3.90402 3.05775
-4.01461 2.76425
-4.03951 2.4402
-3.97616 2.12548
-3.83897 1.84215
-3.67565 1.57726
-3.53777 1.31378
-3.47429 1.03551
-3.49193 0.739383
-3.5633 0.43294
-3.66005 0.124029
-3.75493 -0.17989
-3.83718 -0.477252
-3.90895 -0.771099
-3.97273 -1.06459
-4.03081 -1.36078
-4.08175 -1.66081
-4.12078 -1.96405
-4.14297 -2.26985
-4.14344 -2.57754
-4.11726 -2.88644
-4.05871 -3.19471
-3.95108 -3.48517
-3.76997 -3.72976
-3.50791 -3.90403
-3.20318 -3.99357
-2.90117 -3.98605
-2.62231 -3.89147
-2.34876 -3.75411
-2.05941 -3.62117
-1.73864 -3.53593
-1.41024 -3.51346
-1.11535 -3.55643
-0.891487 -3.66598
-0.701818 -3.81373
-0.440725 -3.94398
